Date,ULTRACEMCO,SHREECEM,GRASIM,AMBUJACEM,ACC,DALBHARAT,RAMCOCEM,JKLAKSHMI,BIRLACORPN,HEIDELBERG,JKCEMENT,ORIENTCEM,PRISMCEM,NCLIND,BURNPUR,SOMANYCERA,CERA,HSIL,ASTRAL,SUPREMEIND
2021-02-01,5744.15,24543.6,1121.19,260.8,1685.45,1219.3,836.45,335.05,763.4,224.0,2164.6,86.95,91.3,154.75,11.75,383.25,3462.45,,969.27,1798.5
2021-02-02,6123.55,26432.55,1185.29,276.25,1762.85,1258.0,877.3,351.0,777.45,232.25,2268.45,93.35,100.35,157.75,11.25,404.85,3359.15,,1012.33,1909.35
2021-02-03,6074.7,25994.4,1186.13,268.95,1727.65,1244.0,860.7,357.6,808.2,234.85,2247.4,91.5,100.75,158.35,10.75,415.95,3523.8,,1093.89,1915.35
2021-02-04,6182.8,27091.0,1183.79,272.75,1748.95,1268.0,867.4,357.95,820.05,238.9,2276.05,94.75,103.0,160.35,11.25,402.9,3524.7,,1159.93,1973.65
2021-02-05,6352.1,26722.85,1181.4,271.3,1723.0,1240.05,871.55,350.1,830.7,239.25,2238.1,92.5,97.7,160.7,10.75,384.35,3544.4,,1126.01,1941.45
2021-02-08,6368.15,28022.2,1206.0,274.35,1763.9,1332.65,931.45,368.05,821.8,241.65,2308.05,93.25,102.65,170.2,10.25,385.85,3559.15,,1163.62,1939.65
2021-02-09,6420.4,28165.8,1213.13,270.55,1761.65,1348.8,929.95,378.8,820.15,229.7,2266.7,90.55,100.15,164.7,10.5,375.15,3518.25,,1141.82,1910.05
2021-02-10,6392.15,28293.75,1226.52,271.9,1761.75,1365.2,928.1,373.5,815.15,232.5,2385.6,89.95,106.3,160.45,10.5,392.5,3577.9,,1141.37,1902.65
2021-02-11,6427.15,28344.2,1230.56,276.9,1775.95,1398.15,941.65,371.6,830.55,228.25,2419.65,89.75,112.2,164.55,10.0,421.75,3581.8,,1144.63,1898.8
2021-02-12,6397.25,27965.85,1237.18,277.45,1765.75,1481.45,956.8,375.0,824.65,230.15,2707.15,88.3,116.15,165.5,10.5,424.45,3717.0,,1135.46,1932.7
2021-02-15,6407.75,28653.25,1223.09,283.4,1788.05,1474.85,976.65,370.05,896.75,237.75,2773.6,94.85,116.05,162.65,11.0,415.25,3835.85,,1138.58,1950.4
2021-02-16,6457.8,28597.4,1238.82,284.05,1819.3,1444.8,989.95,378.55,906.8,234.3,2695.55,96.0,114.0,164.5,11.5,416.05,3993.0,,1132.82,1972.85
2021-02-17,6419.2,28268.5,1233.55,286.65,1819.75,1455.3,978.85,375.5,889.85,232.3,2751.0,96.05,117.3,167.85,11.75,415.4,3943.3,,1157.93,1908.7
2021-02-18,6325.85,27623.35,1224.78,282.8,1787.9,1475.65,968.15,382.2,889.2,230.65,2687.2,93.5,114.15,167.85,11.75,417.2,3996.15,,1164.18,1946.6
2021-02-19,6208.5,27542.45,1213.18,275.3,1747.35,1476.3,962.2,376.25,868.7,228.55,2610.2,91.85,108.4,166.55,11.25,422.1,3845.65,,1142.47,1971.75
2021-02-22,6175.1,27090.85,1225.63,266.95,1700.35,1425.75,944.45,366.3,851.95,225.1,2705.75,89.9,109.55,163.55,11.25,420.45,3858.35,,1166.37,1941.6
2021-02-23,6268.45,27260.35,1226.62,264.7,1697.05,1448.35,960.2,368.9,861.6,223.7,2657.4,90.7,109.25,171.65,11.75,420.7,3937.3,,1162.69,2007.2
2021-02-24,6414.55,27553.0,1245.25,268.4,1730.65,1449.6,962.9,369.4,858.85,233.2,2629.0,91.65,106.4,173.4,12.25,418.0,3935.25,,1181.05,2018.85
2021-02-25,6383.3,27450.9,1265.42,279.7,1801.25,1444.45,983.8,375.25,863.8,232.9,2621.55,94.25,108.2,171.9,12.25,448.5,3954.55,,1190.67,1979.45
2021-02-26,6115.0,26501.7,1196.04,273.5,1733.2,1436.15,968.35,373.6,849.5,232.35,2688.1,91.8,104.15,170.35,12.75,436.95,3859.6,,1196.83,2027.55
2021-03-01,6365.05,27706.95,1260.94,277.9,1774.4,1469.1,995.95,394.0,865.7,227.6,2660.65,94.4,103.75,180.3,13.25,435.95,3997.7,,1235.76,2082.85
2021-03-02,6423.1,27658.75,1289.62,278.8,1771.8,1493.0,994.05,431.2,864.35,229.5,2631.0,96.3,106.1,178.8,13.25,445.05,4090.15,,1234.91,2091.55
2021-03-03,6500.5,27695.25,1312.88,282.1,1796.4,1502.45,1013.75,421.15,855.8,229.25,2695.3,99.85,108.3,176.8,13.75,448.05,4119.8,,1240.48,2109.6
2021-03-04,6775.55,28676.6,1345.05,292.0,1853.7,1487.85,1026.1,434.35,878.25,233.35,2776.7,110.5,112.8,179.25,14.25,448.4,4055.5,,1246.13,2089.05
2021-03-05,6810.3,27848.6,1334.05,284.8,1824.45,1474.95,1010.05,428.7,860.95,230.0,2735.25,104.25,116.2,177.5,14.75,441.15,3908.45,,1245.52,2087.65
2021-03-08,6668.15,27185.05,1338.93,285.75,1822.8,1449.1,1012.6,432.45,862.05,228.25,2742.95,103.9,116.1,176.75,14.5,443.85,4002.95,,1301.6,2070.0
2021-03-09,6697.4,27313.15,1360.94,291.05,1827.85,1451.55,1017.9,437.3,868.15,226.1,2877.75,104.6,114.85,172.45,14.0,443.85,4042.85,,1321.06,2017.3
2021-03-10,6764.05,27555.8,1379.56,292.0,1835.05,1470.3,1019.1,428.8,867.95,225.95,2898.35,102.25,114.85,177.05,13.5,437.65,3961.5,,1407.15,2028.8
2021-03-12,6638.15,27701.5,1374.04,289.5,1787.65,1474.6,1005.6,429.1,865.0,227.35,2924.75,102.2,113.45,173.25,13.0,436.15,4042.05,,1408.08,2065.1
2021-03-15,6561.45,27644.55,1378.62,283.65,1767.1,1472.35,1012.15,423.2,852.1,224.65,2953.2,100.4,114.65,170.7,12.5,425.4,3999.4,,1429.48,1994.2
2021-03-16,6639.95,27430.8,1379.02,285.55,1766.15,1523.15,999.0,425.5,850.45,223.9,2849.1,103.7,118.7,168.3,12.0,423.1,4045.75,,1391.23,2035.65
2021-03-17,6520.25,26842.2,1361.69,280.85,1727.65,1558.6,950.95,420.7,825.15,224.05,2862.05,100.55,114.8,162.0,11.75,420.1,3964.85,,1381.22,2021.3
2021-03-18,6510.05,26595.5,1382.3,281.05,1731.75,1572.5,946.5,404.5,789.1,217.2,2772.2,96.15,114.0,159.65,11.75,419.95,3886.1,,1287.15,2046.9
2021-03-19,6672.0,26936.7,1405.66,283.45,1755.0,1575.1,952.7,412.8,791.1,218.85,2744.55,97.8,114.95,159.45,11.5,413.15,3925.75,,1253.44,2013.0
2021-03-22,6728.0,26954.5,1408.3,295.6,1860.0,1583.9,974.6,406.85,831.7,225.25,2796.35,97.95,118.0,161.2,11.25,412.8,3859.75,,1279.09,1996.15
2021-03-23,6939.1,28312.2,1405.66,304.45,1913.75,1563.0,984.2,406.25,849.4,230.95,2867.5,103.45,120.0,163.8,11.5,413.25,3758.75,,1250.66,1982.75
2021-03-24,6858.65,27803.3,1382.15,303.8,1892.25,1560.4,968.75,400.7,874.25,234.05,2762.8,99.9,122.2,161.8,11.25,409.75,3661.9,,1181.51,1979.4
2021-03-25,6666.5,27580.35,1367.31,294.1,1850.0,1516.8,949.5,390.75,875.3,232.05,2777.55,96.3,122.95,156.05,11.5,413.95,3692.65,,1137.3,1997.05
2021-03-26,6735.25,28116.2,1400.03,294.9,1861.95,1551.45,958.5,409.9,908.75,235.2,2806.3,95.95,126.3,161.05,11.0,412.35,3854.25,,1208.93,2014.25
2021-03-30,6785.6,29094.45,1416.97,299.85,1874.05,1584.0,985.7,419.8,899.4,230.35,2903.1,96.65,129.0,163.6,11.0,418.3,3915.75,,1193.74,2027.25
2021-03-31,6737.95,29465.4,1444.81,308.85,1903.25,1589.0,1002.55,432.95,949.85,233.6,2897.25,97.8,131.05,171.9,10.5,427.1,3907.3,,1212.64,2042.7
2021-04-01,6898.85,29951.95,1448.74,311.0,1913.35,1560.35,1027.05,438.65,974.1,239.05,2919.6,101.6,134.05,172.65,10.75,434.3,3867.45,,1264.01,2020.8
2021-04-05,6795.8,30358.25,1440.77,306.05,1894.4,1536.9,1009.9,425.2,963.65,234.75,2810.55,98.9,131.45,168.3,11.25,413.45,3768.85,,1227.45,2009.05
2021-04-06,6736.65,30114.1,1426.88,305.5,1908.45,1562.4,1042.15,419.6,973.7,238.7,2858.15,99.05,125.65,169.5,11.75,413.45,3726.2,,1167.45,1980.2
2021-04-07,6760.05,30230.65,1431.71,308.65,1918.45,1549.0,1040.15,425.7,964.75,245.05,2913.85,100.55,126.95,173.95,11.5,415.0,3782.75,,1186.05,1974.6
2021-04-08,6971.25,31582.65,1442.07,320.8,1981.65,1559.15,1067.0,439.15,977.95,247.85,3015.1,105.55,137.8,181.9,11.75,417.3,3809.3,,1196.03,1981.65
2021-04-09,6825.85,31748.75,1434.3,316.35,1960.75,1556.0,1078.55,443.95,989.8,241.3,2990.7,107.45,131.95,188.35,11.75,454.4,3834.35,,1197.53,1994.35
2021-04-12,6509.4,29881.05,1371.15,304.3,1885.7,1479.75,1053.5,407.05,922.1,231.6,2815.8,96.6,119.5,173.35,11.25,419.1,3757.65,,1136.18,1971.1
2021-04-13,6604.45,30356.05,1386.69,302.3,1882.15,1541.1,1056.8,415.35,940.9,232.5,2837.85,100.65,121.15,176.2,11.5,432.35,3800.15,,1080.64,1971.95
2021-04-15,6539.3,30305.4,1343.91,295.2,1836.65,1578.25,1006.25,399.4,946.0,230.95,2882.6,103.4,120.85,172.05,11.5,421.6,3833.45,,1144.24,1956.35
2021-04-16,6715.2,30821.1,1347.84,300.7,1881.75,1559.95,1012.9,409.0,956.55,234.85,2880.25,106.95,125.15,171.75,11.5,419.55,3941.9,,1258.54,1983.0
2021-04-19,6509.75,30057.75,1319.45,300.95,1876.75,1503.5,980.6,395.35,938.7,227.8,2901.45,103.7,127.35,170.45,11.0,416.05,3834.65,,1260.19,1990.05
2021-04-20,6200.85,29320.7,1286.78,295.7,1825.8,1447.35,966.7,400.25,942.2,231.95,2859.0,107.0,129.15,175.2,11.25,419.05,3905.0,,1251.34,1989.75
2021-04-22,6092.3,28521.95,1295.05,295.6,1831.65,1478.95,975.05,398.3,919.55,231.65,2858.8,105.65,126.9,175.35,11.0,415.7,3981.2,,1243.31,1977.05
2021-04-23,6067.9,28106.3,1273.04,295.2,1812.9,1424.4,958.65,393.7,906.1,231.95,2804.45,105.15,124.95,172.35,10.75,413.7,3922.75,,1269.82,1993.2
2021-04-26,6275.9,28062.6,1307.15,303.35,1844.75,1471.15,959.85,396.45,910.1,233.3,2783.7,106.5,129.1,176.3,10.5,417.65,3972.75,,1257.71,1992.85
2021-04-27,6326.8,28098.55,1325.93,306.55,1859.75,1529.8,959.55,400.5,928.3,230.85,2792.7,107.0,127.6,178.4,11.0,419.7,3890.8,,1260.56,2050.35
2021-04-28,6360.8,28687.55,1335.84,308.85,1872.15,1510.3,979.4,405.05,918.8,233.3,2789.05,105.45,128.55,180.2,11.5,422.6,3927.2,,1243.46,2048.3
2021-04-29,6382.45,28444.35,1345.35,314.05,1877.05,1537.5,989.65,401.6,918.8,233.2,2792.3,105.5,124.55,182.75,12.0,420.25,3831.95,,1223.96,2049.2
2021-04-30,6278.95,27910.5,1396.2,309.05,1882.75,1506.35,985.5,402.75,918.15,237.1,2806.4,105.25,130.25,184.65,12.5,421.95,3844.35,,1184.36,2049.55
2021-05-03,6350.15,27989.85,1408.95,311.65,1898.0,1546.45,982.85,404.95,924.6,240.6,2784.25,111.55,136.5,187.0,13.0,418.4,3931.6,,1194.6,2109.3
2021-05-04,6296.45,27753.3,1410.34,306.95,1869.0,1552.3,961.6,415.35,917.05,242.05,2788.55,109.05,132.7,183.25,13.5,421.15,3836.1,,1180.09,2132.8
2021-05-05,6380.35,27844.2,1415.27,311.45,1888.55,1538.5,974.2,416.25,933.5,243.05,2775.15,111.05,133.15,183.95,13.75,422.2,4050.25,,1178.55,2148.45
2021-05-06,6405.45,27736.2,1442.17,314.4,1896.25,1567.2,976.85,407.55,932.1,244.1,2778.35,114.75,132.55,181.45,13.25,415.9,3990.15,,1187.74,2177.55
2021-05-07,6481.9,27840.0,1443.86,312.25,1904.75,1631.9,963.4,418.45,937.9,243.55,2779.55,118.1,132.4,180.5,13.25,418.1,3806.4,,1183.95,2187.3
2021-05-10,6403.1,27309.95,1438.83,311.35,1885.7,1652.6,951.9,411.7,943.7,244.85,2798.55,117.9,131.05,185.75,13.5,420.3,3780.0,,1173.07,2149.45
2021-05-11,6490.6,27513.1,1444.41,314.9,1909.95,1722.3,937.9,412.0,995.4,246.6,2776.7,116.7,129.9,193.85,13.75,420.8,3838.5,,1236.82,2209.15
2021-05-12,6388.85,26833.25,1406.76,309.05,1882.7,1700.75,934.4,414.9,1042.95,245.8,2776.25,114.95,138.3,188.95,14.25,421.85,3792.2,,1248.53,2154.4
2021-05-14,6368.1,26713.6,1361.59,307.1,1876.8,1727.5,931.85,406.0,1048.8,235.45,2760.05,118.55,138.95,190.15,14.0,422.7,3897.6,,1260.41,2122.45
2021-05-17,6532.35,27328.25,1388.33,310.2,1903.6,1777.85,950.05,419.5,1116.55,240.8,2754.15,121.65,140.3,188.95,14.25,437.45,3995.85,,1323.41,2156.25
2021-05-18,6653.0,27474.7,1386.89,315.65,1939.95,1816.5,965.15,426.8,1202.05,240.0,2807.85,125.95,144.1,194.2,14.75,437.1,3975.1,,1348.84,2266.5
2021-05-19,6561.2,27532.7,1384.2,317.65,1927.25,1794.85,977.95,444.7,1318.2,245.05,2846.2,126.8,140.05,202.1,15.25,434.55,3920.35,,1361.89,2241.9
2021-05-20,6573.85,27510.35,1369.8,320.0,1958.15,1814.65,997.4,465.8,1252.75,247.7,2902.8,134.75,140.05,199.25,16.0,437.25,3956.05,,1328.93,2218.0
2021-05-21,6637.6,27622.65,1366.42,321.45,1965.25,1830.95,991.15,493.55,1259.55,245.75,2916.25,139.25,139.1,202.05,16.75,435.7,3950.95,,1314.75,2180.4
2021-05-24,6562.4,26909.35,1365.32,326.2,1984.45,1878.5,973.15,527.7,1260.5,243.55,2927.3,138.8,139.95,203.45,17.5,445.4,3916.45,,1343.06,2185.35
2021-05-25,6556.6,27041.45,1369.45,322.3,1961.2,1859.2,946.1,532.0,1228.5,248.15,2867.9,140.65,135.2,203.55,18.25,466.55,4025.75,,1361.74,2210.4
2021-05-26,6580.9,27077.4,1403.82,323.1,1977.45,1845.65,946.3,551.45,1202.7,248.25,2869.55,139.9,135.65,204.45,19.0,468.65,4084.75,,1387.76,2230.05
2021-05-27,6673.25,28066.05,1411.54,330.1,2000.15,1821.05,959.65,551.1,1225.6,248.45,2805.35,148.0,133.4,209.4,19.0,467.4,4018.0,,1423.16,2267.7
2021-05-28,6598.5,27655.1,1459.65,325.65,1985.45,1776.1,961.05,537.65,1221.8,253.3,2808.2,142.95,129.6,203.7,19.0,465.45,3995.5,,1412.4,2239.05
2021-05-31,6708.0,27578.0,1465.37,326.8,1986.05,1765.0,966.25,542.65,1255.25,251.4,2849.45,138.45,128.1,207.1,18.25,469.2,3949.9,,1406.4,2268.95
2021-06-01,6601.35,27623.15,1438.83,324.2,1973.45,1815.3,950.3,539.95,1216.95,253.95,2845.7,133.85,124.35,200.65,18.25,467.75,3962.65,,1394.44,2243.4
2021-06-02,6594.2,27893.9,1436.54,331.1,1997.1,1784.9,968.8,542.4,1248.3,252.35,2846.2,136.85,129.95,203.05,18.25,468.65,4003.25,,1416.19,2263.55
2021-06-03,6641.7,28348.15,1452.97,333.95,2027.35,1788.1,985.85,549.35,1257.8,252.45,2843.8,137.25,136.9,207.05,18.25,462.6,4054.55,,1419.0,2267.65
2021-06-04,6664.3,28153.65,1497.3,332.05,2009.9,1791.05,987.2,541.35,1224.9,250.1,2838.45,141.75,136.5,205.4,18.25,465.1,4057.05,,1423.35,2228.8
2021-06-07,6849.65,29155.8,1495.06,339.05,2045.95,1768.8,988.65,572.25,1235.35,254.75,2871.25,141.1,137.0,206.85,17.5,468.25,4348.1,,1428.38,2229.55
2021-06-08,6794.4,28955.35,1497.2,340.35,2042.65,1790.6,997.4,556.9,1265.15,253.45,2880.4,139.85,134.9,210.0,17.5,471.8,4494.85,,1446.6,2266.55
2021-06-09,6724.75,28407.35,1486.14,334.35,2004.4,1756.2,973.35,567.95,1277.75,250.45,2863.3,134.2,132.45,207.6,17.5,469.05,4531.95,,1457.78,2244.5
2021-06-10,6709.65,28225.8,1486.59,341.55,2030.3,1793.8,998.95,560.0,1249.65,252.15,2859.9,135.3,132.15,209.15,17.5,470.55,4382.4,,1481.29,2244.85
2021-06-11,6662.85,28056.0,1484.7,337.7,2024.5,1786.5,987.4,565.1,1241.8,252.2,2850.5,135.7,131.9,210.5,17.5,471.55,4360.45,,1451.14,2249.55
2021-06-14,6678.5,28334.05,1487.09,340.35,2040.55,1799.15,993.1,570.5,1230.45,250.15,2813.35,134.75,128.15,207.6,16.75,488.15,4376.8,,1461.41,2274.45
2021-06-15,6668.3,28485.9,1489.33,341.45,2042.95,1859.0,1024.3,568.15,1224.0,248.65,2789.75,133.75,130.8,216.35,16.75,500.55,4472.45,,1463.03,2271.05
2021-06-16,6587.4,28224.75,1463.38,338.9,2020.5,1841.45,1022.45,558.7,1220.65,248.8,2768.75,134.65,129.85,222.4,16.75,489.5,4362.2,,1469.81,2261.1
2021-06-17,6704.85,28368.1,1452.42,346.25,2042.2,1805.1,1034.35,581.55,1215.6,251.0,2808.55,136.8,130.65,222.9,16.75,531.85,4365.2,,1480.5,2260.05
2021-06-18,6693.9,28045.8,1474.89,341.3,2027.9,1789.8,1021.2,570.15,1180.05,258.2,2824.5,135.35,128.65,220.1,16.75,598.9,4315.05,,1485.34,2184.15
2021-06-21,6775.5,28225.35,1490.72,344.75,2028.1,1817.0,1027.95,583.0,1168.7,260.55,2812.5,135.55,127.5,227.0,16.0,626.55,4317.65,,1490.1,2175.0
2021-06-22,6858.95,29239.05,1490.37,346.25,2049.35,1849.05,1023.3,575.0,1174.6,256.6,2810.65,133.45,131.2,230.95,16.0,615.25,4230.8,,1496.66,2160.2
2021-06-23,6903.35,28867.2,1492.81,345.15,2030.55,1824.6,1024.8,577.4,1182.25,254.9,2818.1,133.05,130.05,230.75,16.0,603.7,4292.85,,1484.51,2131.8
2021-06-24,6961.95,28672.3,1492.96,346.5,2027.45,1801.05,1034.4,574.15,1230.2,249.7,2848.95,133.3,127.85,228.7,16.0,601.3,4303.3,,1446.9,2096.65
2021-06-25,6923.0,28729.1,1500.88,348.05,2041.15,1832.55,1037.7,578.5,1226.95,252.65,2854.9,137.2,131.05,234.55,16.0,600.25,4352.3,,1440.04,2109.65
2021-06-28,6869.45,28390.2,1514.58,344.35,2050.95,1865.55,1037.55,574.55,1240.0,251.25,2867.65,137.05,130.6,216.95,15.25,610.0,4412.65,,1459.54,2185.2
2021-06-29,6824.7,28134.45,1497.35,344.4,2053.05,1874.15,1035.9,574.0,1229.0,251.5,2853.3,136.0,130.3,213.45,15.25,610.2,4498.4,,1444.8,2172.05
2021-06-30,6776.0,27504.6,1492.81,340.65,2014.8,1891.15,1025.75,577.45,1212.85,252.65,2851.5,136.8,130.6,209.55,15.25,614.35,4484.7,,1492.16,2164.35
2021-07-01,6707.25,27059.95,1494.36,340.3,1996.0,1890.25,1007.85,582.25,1199.3,250.05,2853.8,136.5,130.0,214.3,15.25,600.4,4489.55,,1518.15,2174.65
2021-07-02,6719.9,27014.9,1483.85,339.25,1987.25,1937.65,1009.45,584.1,1226.2,248.6,2865.2,138.05,134.3,211.15,15.25,630.0,4487.95,,1530.6,2203.85
2021-07-05,6719.85,26987.6,1483.8,340.3,1982.75,1969.55,1033.15,599.3,1220.7,252.35,2848.55,143.8,135.15,217.45,14.5,638.5,4492.6,,1533.07,2178.55
